	0	5	10	15	20	25	30
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	0.00	0.05	0.17	0.91	1.44	2.33	2.88
20	0.00	0.09	0.32	1.50	4.10	4.49	7.48
30	0.00	0.13	0.46	1.90	5.38	8.52	13.55
40	0.00	0.16	0.55	2.18	5.76	12.20	19.00
50	0.00	0.18	0.60	2.21	5.94	13.96	20.00
60	0.00	0.20	0.61	1.77	3.73	11.79	20.00
70	0.00	0.20	0.60	1.32	2.21	5.34	20.00
80	0.00	0.20	0.57	1.11	1.64	2.20	20.00
90	0.00	0.18	0.53	1.04	1.55	2.07	20.00
100	0.00	0.16	0.48	0.96	1.45	1.94	20.00
110	0.00	0.14	0.41	0.85	1.33	1.79	20.00
120	0.00	0.11	0.34	0.72	1.19	1.63	20.00
130	0.00	0.09	0.26	0.59	1.02	1.44	2.01
140	0.00	0.06	0.18	0.45	0.82	1.19	1.53
150	0.00	0.04	0.12	0.32	0.60	0.90	1.19
160	0.00	0.02	0.07	0.20	0.38	0.59	0.82
170	0.00	0.01	0.03	0.10	0.19	0.30	0.43
180	0.00	0.00	0.00	0.00	0.00	0.00	0.00
