	0	5	10	15	20	25	30
0	4.75	4.54	3.06	1.77	1.33	1.35	1.39
10	4.75	4.54	3.06	1.76	1.27	1.28	1.21
20	4.75	4.54	3.05	1.73	1.78	0.00	0.00
30	4.75	4.54	3.03	1.67	1.20	0.00	0.00
40	4.75	4.54	3.00	1.58	0.00	0.00	0.00
50	4.75	4.54	3.10	1.56	0.00	0.00	0.00
60	4.75	4.55	3.43	1.46	0.00	0.00	0.00
70	4.75	4.57	3.81	1.26	0.00	0.00	0.00
80	4.75	4.60	4.15	1.83	0.00	0.00	0.00
90	4.75	4.63	4.30	1.87	0.00	0.00	0.00
100	4.75	4.66	4.44	1.61	0.00	0.00	0.00
110	4.75	4.72	4.56	2.61	0.00	0.00	0.00
120	4.75	4.75	4.66	3.75	0.00	0.00	0.00
130	4.75	4.77	4.72	4.31	0.00	0.00	0.00
140	4.75	4.79	4.77	4.64	1.94	0.00	0.00
150	4.75	4.80	4.82	4.88	4.84	1.99	0.00
160	4.75	4.80	4.87	5.03	5.22	5.36	0.00
170	4.75	4.80	4.88	5.07	5.32	5.64	6.00
180	4.75	4.81	4.87	5.06	5.33	5.67	6.09
