	0	5	10	15	20	25	30
0	4.38	4.20	2.98	1.76	1.45	1.34	1.38
10	4.38	4.20	2.98	1.76	1.44	1.31	1.29
20	4.38	4.21	3.00	1.76	1.40	1.14	1.00
30	4.38	4.21	3.02	1.76	1.30	1.00	1.00
40	4.38	4.21	3.02	1.73	1.00	1.00	1.00
50	4.38	4.23	3.17	1.80	1.00	1.00	1.00
60	4.38	4.25	3.51	2.06	1.00	1.00	1.00
70	4.38	4.27	3.84	2.68	1.00	1.00	1.00
80	4.38	4.29	4.11	3.71	1.00	1.00	1.00
90	4.38	4.32	4.21	3.96	1.00	1.00	1.00
100	4.38	4.34	4.28	4.10	1.00	1.00	1.00
110	4.38	4.36	4.34	4.22	1.00	1.00	1.00
120	4.38	4.38	4.38	4.31	1.75	1.00	1.00
130	4.38	4.40	4.40	4.38	4.28	1.00	1.00
140	4.38	4.41	4.43	4.48	4.54	1.00	1.00
150	4.38	4.42	4.46	4.60	4.81	4.96	1.00
160	4.38	4.42	4.49	4.68	4.95	5.27	5.61
170	4.38	4.42	4.50	4.68	4.95	5.28	5.66
180	4.38	4.42	4.49	4.67	4.93	5.25	5.63
